hrf_time,hrf1,hrf2,hrf3,hrf4,hrf5,hrf6,hrf7,hrf8,hrf9,hrf10,hrf11,hrf12,hrf13,hrf14,hrf15,hrf16,hrf17,hrf18
8.5,0.793922775648607,0.892166331267357,0.9589385060054,0.954724539614877,0.98958676064678,0.987374366880152,0.997541591489073,0.997780750185797,0.99661022044934,0.0217195650859883,0.142747337122444,0.0836257834139418,0.235480599954276,0.21002407536568,0.368958182273205,0.568644395864806,0.746746931629518,0.892405306140277
8.75,0.753412374897095,0.861654376224643,0.94765587443229,0.93377974192382,0.982027560270329,0.975184739777104,0.992312535599925,0.992242520330899,0.989469744202658,-0.0557909683399771,0.0660443781883111,0.00640938978770352,0.154227050622347,0.132417984467764,0.290901938311261,0.498430716124817,0.686424434853875,0.846943274216865
9,0.711029853149108,0.828352225739713,0.935925775425433,0.909390100342798,0.972762229011573,0.959208461733691,0.984436640667566,0.983476955564285,0.978659165817083,-0.127933565220878,-0.00689631129217961,-0.0662659765447394,0.0746652238347725,0.0574625482881158,0.212858361433562,0.425793658854972,0.621185542346585,0.793982039223637
9.25,0.667234685260231,0.792613341632398,0.924033122525793,0.881809833603137,0.961999068816479,0.939613868140424,0.974065929748305,0.971616202888958,0.964307568822532,-0.193791317600558,-0.0752027337342883,-0.133505521335316,-0.00235335854078537,-0.0139915276983968,0.135612139332542,0.35139318027204,0.551540182195973,0.73382619215681
9.5,0.622404987090438,0.754821690384002,0.912163080311122,0.851414260868558,0.949968543513534,0.916753295134247,0.961465256350572,0.95695438993795,0.946737967555434,-0.253237496244858,-0.138661749877259,-0.19513746442876,-0.0764838229145337,-0.0816659665018325,0.0595877312915593,0.275754152542816,0.478103859992779,0.667158088099244
9.75,0.576898548402812,0.715368879520403,0.90047590369124,0.818608992237189,0.936906682067768,0.891025095838726,0.946927703554866,0.939826159418798,0.926321877195877,-0.306342907206194,-0.19722492724755,-0.251170770652134,-0.147507954767599,-0.145425592280238,-0.0148804586624151,0.199367677596022,0.401518474782462,0.594754519828202
10,0.531073148011013,0.674646503657044,0.889131825875844,0.783799623368702,0.923049492966276,0.862827607651451,0.930746335311193,0.920566136084843,0.90343079607898,-0.353178357539966,-0.250843834356515,-0.301614405799714,-0.215207538225385,-0.205135229559339,-0.0874580256079356,0.122724857016844,0.322425924415354,0.517392278416941
10.25,0.485286567526555,0.633046161307648,0.878291091353387,0.747391754812222,0.908632994743251,0.832559173857873,0.913214224427988,0.899508952525158,0.87843622940169,-0.393814654791295,-0.299470041128932,-0.34647733665271,-0.279364361623837,-0.260659705337012,-0.157810569401699,0.0463167872835455,0.241468101167909,0.435848148924949
10.5,0.439896592543946,0.590959455302219,0.868113942088782,0.709790991461707,0.893893205359717,0.800618141726055,0.894624444714294,0.87698924349791,0.85170968556477,-0.428322609361018,-0.343055117849016,-0.385768531548271,-0.339760209578958,-0.311863845017644,-0.225603683838831,-0.0293654260166177,0.159286909481262,0.35089893146305
10.75,0.395224382730786,0.548747277966478,0.858728275103078,0.671377913132975,0.879039887095242,0.767382723327255,0.875248576708658,0.853322334955213,0.82360437227377,-0.45683500201611,-0.381609277079163,-0.41955726494482,-0.396232199162681,-0.358669070425668,-0.290553817712914,-0.103873577932176,0.0764912238176161,0.263302129683695
11,0.351444605668529,0.506647693849336,0.850132642191613,0.632433015867707,0.864177810228024,0.733150608832586,0.855272254967653,0.828746341758511,0.79440031584983,-0.479732491119683,-0.415377299274693,-0.448154033336419,-0.448838783832082,-0.40122319081908,-0.352580848133127,-0.176931075698293,-0.00644221280366951,0.173738047707498
11.25,0.308695315672665,0.464868070487595,0.842293240512737,0.593211783994694,0.849385486074728,0.698199365205952,0.834859622706058,0.803480075795263,0.764359251227485,-0.497457713915774,-0.444662607543824,-0.471929643611405,-0.497693736337135,-0.439730605820912,-0.411655486470875,-0.248304196682187,-0.089069647038999,0.0828677427162149
11.5,0.267114563626527,0.423615772001727,0.83517628204571,0.553969698915877,0.834741436022943,0.662806557718682,0.814174829229495,0.777742352035352,0.733742913745032,-0.510453300255589,-0.469768622977534,-0.4912548980742,-0.542910837120751,-0.474395717483942,-0.467748456654749,-0.317759236905422,-0.17094735050132,-0.00864775920424928
11.75,0.226840402288331,0.383098163867951,0.828747964042512,0.514962242572171,0.820324170577685,0.627249750832026,0.793382016248226,0.751751980405117,0.702813036006363,-0.51916188434507,-0.490998766807474,-0.506500601175314,-0.584603858677935,-0.505422924391106,-0.520830470976285,-0.385062476308579,-0.251631574101174,-0.100147406823481
12,0.188010879637616,0.34352260649747,0.822974492335948,0.476444892015424,0.806212205117052,0.591806504947045,0.772645327290622,0.725727770360361,0.671831348113626,-0.524026094672177,-0.508656458981148,-0.518037553960053,-0.622886579859917,-0.533016627412909,-0.570872252168152,-0.449980210493071,-0.330678589728583,-0.190970175003347
12.25,0.150742022491286,0.305065328690307,0.81780807348874,0.43863544757231,0.792459311034516,0.556713078684472,0.752096327997111,0.699851269444472,0.641018836623963,-0.525441077470697,-0.523012066134626,-0.526196494464957,-0.657857296948268,-0.557357893107351,-0.6178443382563,-0.512300991440324,-0.407689693501826,-0.280523459904635
12.5,0.115061757360913,0.267778006859179,0.813144884173928,0.401600968546936,0.779020245548449,0.5220404834026,0.731736230953584,0.674154935026664,0.61043347129869,-0.523612004048859,-0.534203704014312,-0.531147866965991,-0.689552343903722,-0.578534417540153,-0.661716506402964,-0.571902390855351,-0.482446289126069,-0.368488371261111
12.75,0.0809759886785923,0.231681183744043,0.808867107690848,0.365370834714828,0.76582502482783,0.487818425696631,0.711533671434456,0.648633961550289,0.580092476041449,-0.518696553013383,-0.542336427942695,-0.533022044010591,-0.717992570125573,-0.596610557874891,-0.702458350373153,-0.62868424269634,-0.554774815186836,-0.454614455766751
13,0.0484906161426606,0.196795396366885,0.804856912757328,0.329974419252152,0.752803652238483,0.454076604620174,0.6914572735636,0.623283533634957,0.550013066143416,-0.51085240535628,-0.54751529430776,-0.53194939982868,-0.743198822535062,-0.611650670946253,-0.740039460498305,-0.682546376619614,-0.624501704852335,-0.538651253444423
13.25,0.017611541746783,0.163141185655393,0.800996483648785,0.295441100753118,0.739886144732184,0.420844726226462,0.671475673183583,0.598098846005444,0.520212465455339,-0.500237243605302,-0.549845362744483,-0.528060311101288,-0.765191955948949,-0.623719118658146,-0.774429436161087,-0.733388632214111,-0.691453402256191,-0.620348316155737
13.5,-0.0116553309195521,0.130739092369736,0.797167994552882,0.261800255950353,0.727002510440428,0.38815249298652,0.651557498575097,0.5730750870555,0.490707892758726,-0.487008744130691,-0.549431685389589,-0.521485147628436,-0.783992813821679,-0.6328802539304,-0.805597864600507,-0.781110836588988,-0.755456338753654,-0.699455183153747
13.75,-0.0393111699482911,0.0996035776889576,0.793257757689958,0.22907638440277,0.714085143439994,0.356026214471885,0.631672230970213,0.548206916536984,0.461514662209535,-0.471329924333354,-0.546387129041237,-0.512360925285137,-0.799635027942912,-0.639208422912961,-0.83352911637028,-0.825629716135549,-0.816355796888401,-0.775741529017834
14,-0.0653854127156338,0.0697247947041225,0.789168594641796,0.197274479755914,0.701075946977433,0.324478623238333,0.61179273635894,0.523486859551768,0.432640456342987,-0.453385139584007,-0.540855783261731,-0.500851212917014,-0.812203324593562,-0.642817899337116,-0.858266629394136,-0.866929522325036,-0.874072386077564,-0.84905748853197
14.25,-0.0899145634530765,0.0410868201910682,0.784807462742928,0.166394660235791,0.687919208112083,0.293519059235482,0.591892731813521,0.49890691118784,0.404091052326572,-0.433364076641177,-0.532989542135842,-0.487126215522543,-0.821795206305936,-0.643832939340808,-0.879868612761613,-0.905011394268954,-0.928545556009912,-0.919273322276973
14.5,-0.112935131439174,0.0136737271303349,0.780081323578608,0.136437041591973,0.67455921711272,0.263156861369325,0.571945936635547,0.474459067776842,0.375872227538961,-0.411456428878544,-0.52294030785727,-0.471356145511913,-0.828508187229914,-0.642377808618456,-0.89839328822419,-0.939876484576473,-0.979714770555004,-0.986259305100684
14.75,-0.134483621434639,-0.0125304092174813,0.774897125948661,0.107401739590526,0.66094025365213,0.233401366134167,0.551926061596889,0.450135319062381,0.347989754730133,-0.387851881426968,-0.510859971810168,-0.453711205682372,-0.832439764356645,-0.638576759484158,-0.913898858600098,-0.971525925524048,-1.0275194719445,-1.049885689663
15,-0.154596536779518,-0.0375415098430073,0.769161824741516,0.079288875665509,0.647006604578575,0.204261917183511,0.531806825282503,0.425927662731112,0.320449414503976,-0.362740130891315,-0.496900435344614,-0.434361609547632,-0.833687443916641,-0.632554053492023,-0.926443534010205,-0.999960853417295,-1.07189910304985,-1.11002272545286
15.25,-0.173306503884466,-0.0613649647186039,0.762792952586307,0.0521144487978712,0.632718021309488,0.175767607212398,0.511580736617286,0.401848375824461,0.293277992229903,-0.336347416335938,-0.481243963757208,-0.413510971711814,-0.832373567688199,-0.624460675811888,-0.936103132380005,-1.02518852641637,-1.11278728330103,-1.16652164859426
15.5,-0.190630629303369,-0.0839640160442866,0.755750314838436,0.0259579996748288,0.618096100188451,0.148026559404083,0.491315472099152,0.377990871936517,0.266586321866434,-0.30904624007449,-0.464194342892802,-0.391496589733505,-0.828719842123118,-0.614554549612034,-0.943023896553193,-1.04724064345779,-1.15009424964767,-1.21915750891357
